2020/09/07,17636634531599437806450;17636634531599433850151,08:16-08:44;07:10-07:36,53.0,10176,0
2023/02/11,17636634531676101709832;17636634531676091832567;17636634531676089698572;17636634531676080479644;17636634531676123000100,15:49-16:03;13:03-13:07;12:28-12:59;09:54-10:11;21:43-21:47,67.0,10050,0
2023/02/10,17636634531676027209686;17636634531676007276052;17636634531675988514946,19:06-19:16;13:34-13:44;08:21-08:55,53.0,7950,0
2023/02/26,17636634531677412588917,19:56-20:34,38.0,5700,0
2023/02/20,17636634531676884535541;17636634531676869032162,17:15-17:23;12:57-13:00,10.0,1500,0
2023/02/19,17636634531676804862137,19:07-21:03,115.0,17250,0
2023/02/16,17636634531676543179318,18:26-18:35,9.0,1350,0
2023/02/14,17636634531676351956045,13:19-13:48,29.0,4350,0
2023/02/12,17636634531676203317313;17636634531676189821952;17636634531676174303662,20:01-20:40;16:17-16:39;11:58-12:54,115.0,17250,0
2023/03/07,17636634531678175858373;17636634531678172812297;17636634531678177809383,15:57-16:10;15:06-15:12;16:30-16:34,21.0,3150,0
2023/03/05,17636634531678016761116,19:46-21:41,115.0,17250,0
2023/03/01,17636634531677662877525;17636634531677661032984;17636634531677654878925;17636634531677649471350,17:28-17:41;16:57-17:00;15:15-15:26;13:44-14:15,56.0,8400,0
2023/02/27,17636634531677499723369;17636634531677488945272;17636634531677481055899,20:08-20:33;17:09-17:42;14:57-15:25,84.0,12600,0
2023/04/08,17636634531680917923955;17636634531680959823660;17636634531680940963453;17636634531680934816752;17636634531680934801567;17636634531680934785951;17636634531680923820632,09:38-09:44;21:17-21:27;16:02-16:16;14:20-14:44;14:20-14:20;14:19-14:19;11:17-11:44,78.0,11700,0
2023/04/03,17636634531680509967680;17636634531680496993882,16:19-16:24;12:43-12:47,8.0,1200,0
2023/04/02,17636634531680421303624,15:41-16:06,24.0,3600,0
2023/03/30,17636634531680140765084;17636634531680139763356,09:46-10:40;09:29-09:36,60.0,9000,0
2023/03/27,17636634531679886041144,11:00-11:15,14.0,2100,0
